Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
1,22,50,55,43,1.6,0
2,19,80,79,69,4.2,1
3,20,100,92,97,7.5,1
4,22,33,48,47,1.2,0
5,18,100,89,100,7.3,1
6,20,93,75,58,4.5,1
7,20,82,82,71,6.0,1
8,22,71,97,76,6.3,1
9,17,94,87,89,5.9,1
10,18,59,66,67,3.3,1
11,22,79,71,61,4.3,1
12,18,78,45,37,2.1,1
13,18,72,83,67,6.0,1
14,20,99,93,76,8.4,1
15,19,49,55,63,1.4,1
16,18,80,63,54,3.5,1
17,21,100,94,80,4.6,1
18,20,84,63,82,5.3,1
19,17,78,52,98,6.8,1
20,19,74,78,65,4.7,1
21,21,67,65,75,4.4,1
22,21,100,94,89,7.2,1
23,17,94,71,84,6.3,1
24,19,78,100,81,6.1,1
25,20,73,73,85,5.2,1
26,16,92,82,95,7.0,1
27,19,67,90,67,3.7,1
28,17,66,75,60,3.4,1
29,21,92,100,77,6.5,1
30,20,65,51,55,1.7,1
31,19,77,78,78,5.2,1
32,16,69,65,70,4.4,1
33,16,44,48,43,2.2,0
34,18,62,68,60,3.1,1
35,18,80,71,68,4.8,1
36,22,79,100,87,7.1,1
37,17,66,78,95,3.7,1
38,19,100,100,94,7.4,1
39,19,87,50,89,5.1,1
40,22,100,100,83,7.6,1
41,21,76,39,68,3.8,1
42,21,73,61,87,4.9,1
43,22,78,60,61,5.7,1
44,21,89,77,70,4.6,1
45,18,100,90,93,6.9,1
46,19,37,55,47,0.6,0
47,22,99,100,97,9.8,1
48,19,86,100,79,6.7,1
49,16,83,63,76,4.7,1
50,18,64,84,51,3.9,1
51,20,69,64,66,3.3,1
52,18,100,100,90,6.3,1
53,22,95,100,83,7.0,1
54,20,79,71,56,4.7,1
55,16,100,91,82,7.2,1
56,22,54,52,62,3.2,1
57,17,54,65,49,2.8,1
58,19,100,98,96,8.6,1
59,16,89,94,84,6.2,1
60,19,100,80,100,7.8,1
61,21,66,61,62,3.3,1
62,17,75,50,65,3.2,1
63,17,78,58,64,4.3,1
64,16,71,73,60,3.4,1
65,17,100,100,91,6.4,1
66,20,84,38,63,3.5,1
67,17,84,83,70,2.7,1
68,19,76,95,76,5.3,1
69,19,83,42,46,2.4,1
70,22,40,61,45,1.4,0
71,19,100,73,100,5.3,1
72,22,45,51,52,1.5,0
73,19,92,95,66,6.6,1
74,20,57,63,45,2.2,1
75,22,35,38,40,0.5,0
76,18,76,65,61,4.4,1
77,21,74,72,64,5.3,1
78,16,75,97,97,6.0,1
79,19,82,56,84,5.3,1
80,17,79,60,60,2.9,1
81,19,88,100,76,6.4,1
82,17,100,98,84,6.9,1
83,21,52,72,80,2.6,1
84,21,63,72,63,4.6,1
85,21,80,59,54,4.5,1
86,17,100,80,84,5.4,1
87,19,78,65,83,4.6,1
88,21,87,100,90,4.9,1
89,20,100,84,78,6.3,1
90,22,62,69,58,2.8,1
91,17,90,100,100,6.5,1
92,17,100,79,95,7.3,1
93,19,100,72,93,8.3,1
94,17,31,52,54,0.7,0
95,17,79,82,67,4.6,1
96,21,48,44,54,1.1,0
97,19,32,28,48,0.1,0
98,21,81,82,85,5.3,1
99,22,61,71,59,4.2,1
100,22,69,85,82,5.6,1
101,21,88,70,68,6.0,1
102,22,100,98,100,7.5,1
103,19,77,87,70,5.1,1
104,16,100,99,91,10.8,1
105,21,76,98,100,5.6,1
106,20,100,100,91,8.7,1
107,20,59,54,47,0.3,1
108,17,100,80,72,7.7,1
109,22,89,82,72,4.6,1
110,20,38,29,69,1.1,0
111,17,85,71,87,5.8,1
112,16,85,75,52,4.4,1
113,19,75,82,73,6.2,1
114,19,89,91,97,7.0,1
115,19,65,79,64,2.0,1
116,20,98,91,81,7.0,1
117,16,70,85,79,5.0,1
118,20,85,95,78,7.7,1
119,22,90,73,58,4.6,1
120,20,52,58,42,4.1,1
121,16,87,82,85,5.1,1
122,16,76,100,75,5.2,1
123,22,80,68,67,3.7,1
124,16,61,66,35,4.0,1
125,16,86,73,59,2.5,1
126,19,76,82,75,4.1,1
127,22,96,92,60,6.4,1
128,18,69,71,73,4.7,1
129,18,94,100,86,7.0,1
130,16,75,75,67,4.6,1
131,18,74,67,71,2.1,1
132,18,93,75,93,6.2,1
133,16,75,60,100,3.7,1
134,18,81,74,58,4.5,1
135,20,100,79,94,7.5,1
136,17,47,56,77,2.7,1
137,22,100,63,69,5.3,1
138,17,70,57,93,4.9,1
139,16,90,100,87,6.4,1
140,19,100,81,65,6.7,1
141,22,100,74,63,5.5,1
142,16,82,73,64,4.3,1
143,19,82,70,79,5.9,1
144,17,100,89,100,7.7,1
145,16,80,98,73,4.9,1
146,22,78,77,85,4.5,1
147,22,74,94,80,5.8,1
148,21,93,96,75,5.1,1
149,20,59,60,55,2.3,1
150,18,76,77,88,5.5,1
151,19,53,40,60,2.3,1
152,21,88,77,71,5.7,1
153,18,53,63,69,3.4,1
154,18,89,68,70,5.1,1
155,16,88,100,74,5.8,1
156,18,100,100,100,9.9,1
157,20,92,99,82,6.5,1
158,22,90,94,100,7.7,1
159,21,97,90,100,8.7,1
160,18,84,99,72,6.0,1
161,16,81,85,69,5.6,1
162,20,57,71,48,2.9,1
163,17,79,83,80,4.8,1
164,22,62,70,57,3.6,1
165,22,76,95,45,4.2,1
166,21,100,95,79,8.7,1
167,22,87,74,64,5.2,1
168,18,62,84,67,3.2,1
169,16,100,96,90,7.7,1
170,22,100,88,96,6.9,1
171,22,97,87,77,7.0,1
172,17,45,57,47,1.0,0
173,17,96,100,100,8.9,1
174,19,85,65,64,3.9,1
175,20,85,96,87,6.6,1
176,18,100,100,97,10.0,1
177,22,100,94,98,9.3,1
178,22,62,63,68,3.0,1
179,16,70,73,64,2.1,1
180,19,90,100,93,7.9,1
181,20,99,97,73,5.3,1
182,19,78,61,70,4.0,1
183,21,87,98,74,6.2,1
184,20,75,67,70,4.7,1
185,22,69,72,87,6.4,1
186,22,72,68,86,5.1,1
187,20,87,88,73,6.4,1
188,22,67,76,62,3.2,1
189,18,100,100,80,7.8,1
190,20,100,84,78,6.4,1
191,19,93,73,93,6.3,1
192,20,64,70,55,2.8,1
193,22,100,100,94,8.4,1
194,18,62,80,61,5.0,1
195,18,85,74,77,6.5,1
196,21,73,82,54,4.4,1
197,19,93,95,81,5.5,1
198,17,89,99,82,5.6,1
199,17,42,36,48,0.0,0
200,20,83,90,86,6.2,1
201,21,91,97,100,8.9,1
202,16,69,73,64,6.1,1
203,20,48,82,54,3.1,1
204,21,87,92,58,6.3,1
205,19,100,100,82,7.1,1
206,19,97,69,71,6.0,1
207,19,87,79,73,4.9,1
208,19,70,79,99,4.5,1
209,19,87,63,80,4.5,1
210,21,81,100,100,6.4,1
211,21,66,54,67,2.2,1
212,18,57,77,69,4.3,1
213,17,93,92,94,8.2,1
214,22,100,85,100,8.3,1
215,19,53,66,59,2.0,1
216,16,54,65,58,2.7,1
217,22,87,76,87,4.5,1
218,21,100,86,90,6.8,1
219,16,46,55,37,1.3,0
220,16,81,91,72,4.9,1
221,16,74,62,70,4.1,1
222,18,73,100,86,7.7,1
223,21,38,55,50,1.6,0
224,16,91,76,71,5.2,1
225,19,65,51,50,4.2,1
226,20,100,97,70,7.9,1
227,16,92,93,75,6.2,1
228,18,82,72,63,3.8,1
229,22,79,71,70,6.7,1
230,21,77,86,58,4.2,1
231,18,95,100,84,7.0,1
232,16,68,72,83,4.5,1
233,21,88,100,98,7.1,1
234,20,89,73,91,5.9,1
235,16,100,100,100,11.5,1
236,18,79,64,71,4.9,1
237,17,87,85,93,5.8,1
238,19,67,48,49,4.0,1
239,22,75,73,69,5.0,1
240,18,32,77,47,0.0,1
241,21,82,65,61,5.9,1
242,16,100,89,95,7.7,1
243,19,93,70,96,5.8,1
244,16,46,55,72,2.4,1
245,21,58,61,63,3.4,1
246,16,33,34,54,0.1,0
247,17,95,89,68,7.0,1
248,19,47,70,66,3.0,1
249,19,70,92,71,4.9,1
250,21,63,71,71,4.7,1
251,22,100,98,94,8.0,1
252,17,81,83,80,5.2,1
253,18,88,73,68,6.6,1
254,16,78,82,70,6.1,1
255,20,97,89,88,7.7,1
256,16,70,84,52,4.5,1
257,16,100,100,98,8.7,1
258,18,57,39,60,1.0,1
259,16,86,100,100,6.7,1
260,17,68,47,65,3.3,1
261,17,81,72,89,4.0,1
262,19,81,87,81,6.1,1
263,21,74,66,67,6.1,1
264,22,71,75,81,6.2,1
265,20,70,46,55,2.2,1
266,16,100,81,98,7.9,1
267,16,68,32,67,3.2,1
268,18,62,64,68,3.5,1
269,21,77,85,93,6.3,1
270,17,64,71,66,4.4,1
271,20,71,90,84,5.6,1
272,19,54,23,52,0.7,0
273,17,99,76,79,5.6,1
274,21,83,100,76,5.4,1
275,22,56,80,55,4.0,1
276,19,52,59,47,0.9,1
277,22,89,62,70,4.6,1
278,18,88,73,66,4.9,1
279,18,74,44,55,4.3,1
280,16,48,58,46,1.3,1
281,22,100,100,88,8.2,1
282,21,81,50,52,3.7,1
283,20,84,60,57,4.6,1
284,19,37,43,23,0.2,0
285,17,100,100,97,8.2,1
286,21,67,64,80,4.1,1
287,21,70,68,76,5.2,1
288,18,100,82,83,7.2,1
289,22,60,66,51,3.6,1
290,16,100,97,62,6.9,1
291,16,40,47,50,0.9,0
292,19,84,82,88,6.1,1
293,18,100,77,84,8.1,1
294,21,75,79,79,3.8,1
295,20,95,91,80,7.2,1
296,18,98,97,100,8.7,1
297,19,76,76,63,4.5,1
298,19,66,61,41,4.3,1
299,18,81,59,71,3.2,1
300,19,69,71,58,4.0,1
301,18,60,57,48,3.4,1
302,17,85,44,69,3.2,1
303,18,100,72,79,7.4,1
304,22,58,71,49,3.4,1
305,18,76,80,92,5.5,1
306,19,85,76,73,5.1,1
307,22,100,84,77,8.0,1
308,19,80,69,63,4.0,1
309,16,79,77,100,5.8,1
310,16,99,80,85,6.6,1
311,22,81,97,85,8.0,1
312,17,70,73,74,4.0,1
313,16,64,89,62,3.8,1
314,18,58,69,56,2.9,1
315,19,100,100,94,9.5,1
316,16,100,100,100,7.8,1
317,16,67,67,76,4.9,1
318,17,89,100,100,8.9,1
319,22,68,64,77,4.8,1
320,22,100,78,100,6.4,1
321,21,63,71,82,5.0,1
322,17,80,74,76,5.8,1
323,18,93,83,77,5.6,1
324,22,73,76,90,4.2,1
325,19,100,76,100,7.2,1
326,17,70,83,100,6.4,1
327,16,93,88,76,7.1,1
328,19,98,63,57,5.6,1
329,19,54,55,54,3.2,1
330,16,100,100,97,8.4,1
331,17,73,83,64,4.5,1
332,16,89,62,79,5.7,1
333,21,100,91,77,6.3,1
334,19,89,64,59,5.7,1
335,20,88,84,90,6.8,1
336,20,100,90,87,7.1,1
337,18,70,83,87,4.6,1
338,22,100,98,96,8.3,1
339,16,63,61,80,4.5,1
340,16,85,67,70,5.7,1
341,18,85,73,74,4.2,1
342,18,66,60,76,3.7,1
343,18,100,86,93,7.1,1
344,19,100,100,100,11.2,1
345,21,74,77,74,4.3,1
346,16,100,100,96,7.4,1
347,19,79,59,84,4.3,1
348,18,82,68,68,5.0,1
349,16,100,100,83,8.5,1
350,19,60,84,53,2.9,1
351,21,51,48,60,2.3,1
352,19,63,76,73,4.8,1
353,21,86,100,89,6.3,1
354,18,96,83,89,5.9,1
355,21,76,94,58,5.7,1
356,16,83,100,70,5.1,1
357,18,91,91,86,6.6,1
358,16,33,47,57,0.0,0
359,20,49,75,65,3.5,1
360,17,92,64,88,4.8,1
361,21,96,69,89,6.4,1
362,17,100,99,97,8.0,1
363,17,76,56,62,3.2,1
364,21,100,100,92,7.9,1
365,18,55,74,73,4.1,1
366,20,59,87,71,4.7,1
367,16,90,70,94,6.2,1
368,19,65,86,82,4.6,1
369,16,90,64,100,7.2,1
370,19,98,57,58,4.2,1
371,16,85,78,58,4.2,1
372,21,87,85,92,7.1,1
373,20,44,61,65,3.5,1
374,19,73,81,80,5.5,1
375,22,48,70,42,1.7,1
376,18,100,79,80,8.6,1
377,16,86,100,91,7.4,1
378,16,100,100,99,10.5,1
379,19,94,89,99,7.7,1
380,18,68,52,54,2.7,1
381,18,90,84,73,6.3,1
382,21,74,55,39,3.2,1
383,22,100,100,100,8.2,1
384,21,53,67,69,2.8,1
385,21,55,42,44,2.7,0
386,21,48,43,33,1.8,0
387,21,92,55,62,4.0,1
388,21,69,69,77,3.6,1
389,20,60,69,54,2.5,1
390,18,100,92,96,9.0,1
391,21,88,95,92,6.1,1
392,18,97,71,68,5.8,1
393,18,100,100,86,8.2,1
394,17,79,77,80,5.5,1
395,20,58,61,62,3.5,1
396,21,71,66,44,1.6,1
397,16,66,87,73,3.4,1
398,19,92,74,98,8.0,1
399,22,61,66,69,2.5,1
400,16,79,84,77,5.7,1
401,20,92,99,68,7.1,1
402,19,87,63,78,5.6,1
403,20,100,69,66,5.8,1
404,18,91,78,60,6.3,1
405,19,79,85,76,5.8,1
406,18,100,90,95,8.2,1
407,16,69,58,79,2.9,1
408,16,64,90,64,5.5,1
409,19,40,76,60,1.4,1
410,19,49,57,32,0.9,0
411,21,61,85,87,4.8,1
412,20,85,82,73,6.1,1
413,21,100,89,91,8.3,1
414,20,100,100,100,9.8,1
415,21,98,94,98,7.6,1
416,18,100,73,68,6.5,1
417,19,83,88,74,5.3,1
418,16,72,73,49,1.9,1
419,20,63,76,97,4.7,1
420,20,100,100,78,7.6,1
421,16,90,100,57,6.8,1
422,21,73,46,78,2.4,1
423,20,100,64,87,6.2,1
424,22,60,78,72,6.1,1
425,18,90,83,78,5.7,1
426,19,89,61,65,4.9,1
427,16,100,100,61,6.3,1
428,19,79,100,81,6.4,1
429,22,75,70,65,3.7,1
430,20,89,71,84,5.9,1
431,20,81,80,61,4.6,1
432,22,65,44,48,2.0,1
433,16,82,83,64,3.9,1
434,18,48,52,45,1.9,0
435,17,98,99,99,7.0,1
436,16,86,92,88,5.7,1
437,17,72,78,65,4.3,1
438,22,100,100,97,7.8,1
439,21,82,79,61,5.1,1
440,17,50,50,52,2.1,1
441,18,81,45,85,4.1,1
442,21,100,72,100,8.3,1
443,17,61,75,70,3.7,1
444,22,97,78,74,5.6,1
445,21,83,77,83,6.5,1
446,22,98,72,66,6.2,1
447,17,100,100,100,9.9,1
448,22,59,48,64,2.6,1
449,18,54,81,61,2.8,1
450,17,55,89,60,2.7,1
451,17,78,61,64,4.4,1
452,17,100,100,78,7.2,1
453,16,46,67,51,2.9,1
454,16,98,80,85,7.2,1
455,16,79,65,83,5.1,1
456,18,57,60,52,2.8,1
457,21,51,38,54,1.5,0
458,22,49,68,56,1.9,1
459,20,82,64,77,3.7,1
460,17,91,61,73,4.7,1
461,22,100,94,74,7.7,1
462,17,91,93,100,6.6,1
463,18,61,56,75,3.3,1
464,17,87,58,85,5.8,1
465,16,100,100,88,8.3,1
466,20,100,88,93,8.7,1
467,19,66,63,55,4.4,1
468,17,91,95,82,6.9,1
469,22,100,89,93,7.8,1
470,16,48,54,56,2.0,1
471,19,71,87,88,4.0,1
472,20,100,100,100,9.4,1
473,19,68,97,82,4.4,1
474,16,22,50,50,0.0,0
475,21,67,64,75,4.8,1
476,21,89,86,93,7.2,1
477,19,77,61,53,5.0,1
478,18,91,94,80,6.4,1
479,22,100,100,71,6.9,1
480,22,62,67,57,4.3,1
481,19,78,47,82,4.0,1
482,17,78,83,64,5.3,1
483,17,65,69,62,5.4,1
484,22,80,69,79,5.1,1
485,22,94,82,75,5.2,1
486,21,76,81,70,3.5,1
487,18,91,96,100,6.5,1
488,16,100,90,88,6.2,1
489,17,60,56,41,2.3,1
490,22,83,55,80,4.2,1
491,21,64,82,73,5.2,1
492,20,58,77,70,3.9,1
493,21,97,78,64,6.3,1
494,17,94,71,79,4.9,1
495,17,86,92,62,5.3,1
496,21,68,66,76,4.2,1
497,16,39,45,43,1.0,0
498,19,44,47,58,0.9,0
499,17,100,93,67,6.2,1
500,21,80,84,60,5.5,1
501,22,97,85,74,5.9,1
502,21,88,97,79,5.3,1
503,18,100,74,64,5.4,1
504,19,97,78,88,6.9,1
505,20,86,95,90,5.9,1
506,16,100,94,73,7.1,1
507,20,73,72,79,5.3,1
508,19,70,68,77,4.4,1
509,19,66,64,75,5.4,1
510,19,53,67,63,3.3,1
511,20,92,53,54,4.2,1
512,22,90,87,82,5.4,1
513,19,68,72,77,5.3,1
514,21,90,58,75,4.8,1
515,20,50,70,80,2.2,1
516,19,96,100,80,6.3,1
517,21,99,94,88,6.7,1
518,22,100,96,100,8.3,1
519,18,81,71,79,5.9,1
520,22,72,80,67,5.0,1
521,19,37,70,67,3.0,1
522,20,100,98,85,8.0,1
523,17,91,91,91,5.5,1
524,19,91,97,83,5.4,1
525,17,88,58,62,4.5,1
526,21,78,76,57,4.4,1
527,18,96,63,85,6.4,1
528,16,64,53,65,3.0,1
529,22,100,100,81,8.3,1
530,18,93,96,100,7.8,1
531,19,60,52,78,4.3,1
532,17,58,77,68,3.3,1
533,22,50,42,59,1.0,1
534,17,46,69,49,2.5,1
535,20,85,93,73,6.5,1
536,17,78,71,75,5.6,1
537,20,95,94,74,6.0,1
538,21,57,54,58,1.3,1
539,22,74,73,79,4.2,1
540,22,100,90,83,7.7,1
541,16,83,62,64,4.8,1
542,19,56,54,69,2.5,1
543,20,72,70,62,4.8,1
544,16,83,76,62,3.5,1
545,17,60,62,68,5.7,1
546,17,72,94,68,5.0,1
547,16,86,100,65,6.1,1
548,22,66,52,74,2.6,1
549,17,84,87,80,4.1,1
550,21,100,80,79,7.2,1
551,21,57,71,63,2.3,1
552,16,63,53,47,3.0,1
553,20,86,92,84,5.4,1
